id,name,text,text_jp
$C1910_MAIN_0050_1400_00_red,NPC,but it was all playing right into Shinra’s hands.,しかし　それらはすべて神羅の手の平の上だった
$C1910_MAIN_0050_1410_00_red,NPC,Shinra cunningly deceived and manipulated the people.,神羅はたくみに人々をだまし　扇動していた
$C1910_MAIN_0050_1500_00_red,NPC,Avalanche ended up framed as the culprits behind the unprecedented disaster of Sector 7’s plate collapse.,アバランチは　七番プレート落下という<br>未曽有の災害を引き起こした実行犯にされてしまう
$C1910_MAIN_0050_1600_00_red,NPC,"Losing precious comrades, with everyone crushed by despair, Aerith struck a deal with Shinra and let herself be captured.",大切な仲間を失い　皆が絶望にうちひしがれるなか<br>エアリスは神羅と取引をし自ら捕らわれの身となる
$C1910_MAIN_0050_1700_00_red,NPC,"Aerith was the last surviving Cetra, a race once called the planet’s pioneers.",エアリスは　星の開拓者とも呼ばれる種族<br>セトラの最後の生き残りだった
$C1910_MAIN_0050_1800_00_red,NPC,"Shinra sought the <i>Promised Land</i> from Cetra legend,",神羅は　セトラの伝承に残る『約束の地』を<br>見つけだそうとしていた
$C1910_MAIN_0050_1900_00_red,NPC,and they needed her power to find it.,そのためには　彼女の力が必要だった
$C1910_MAIN_0050_2000_00_red,NPC,Cloud and the others stormed the Shinra Building to rescue Aerith.,クラウドたちは　エアリスを救出するべく<br>神羅ビルへと侵入する
$C1910_MAIN_0050_2100_00_red,NPC,"I, held as an experimental specimen, joined them and helped free Aerith from the research lab.",実験サンプルとして捕らわれていた私も<br>彼らと合流し　研究施設からエアリスを助けだす
$C1910_MAIN_0050_2200_00_red,NPC,"But then, the mightiest SOLDIER appeared before us.",そんな我々の前に　最強のソルジャーが姿を現す
$C1910_MAIN_0050_2210_00_red,NPC,"The legendary hero, Sephiroth.",伝説の英雄　セフィロス
$C1910_MAIN_0050_2300_00_red,NPC,Our long-dead nemesis stole Jenova’s remains—the origin of it all—kept in a secret lab.,死んだはずの宿敵は極秘実験施設に保管されていた<br>すべての始まりであるジェノバの遺体を奪い去る
$C1910_MAIN_0050_2400_00_red,NPC,"Escaping the Shinra Building, Cloud and the others raced down the highway, shaking off Shinra’s forces.",神羅ビルを脱出したクラウドたちは<br>ハイウェイを駆け抜け　神羅軍の追手を振り切る
$C1910_MAIN_0050_2500_00_red,NPC,That old foe showed himself again.,再び姿を現す宿敵
$C1910_MAIN_0050_2600_00_red,NPC,"And then, an ear-piercing scream echoed out,",そのとき　耳をつんざく絶叫が響き渡り
$C1910_MAIN_0050_2700_00_red,NPC,as the Feelers—guardians of fate—engulfed Midgar.,運命の番人であるフィーラーが<br>ミッドガルを覆いつくす
$C1910_MAIN_0050_2800_00_red,NPC,"Facing the wall of fate, Aerith spoke up.",運命の壁を前に　エアリスが告げる
$C1910_MAIN_0050_2810_00_red,NPC,"""This is where our paths diverge,"" she said.",ここが　分かれ道だと
$C1910_MAIN_0050_2900_00_red,NPC,We learned the road we’d walked so far had been protected by the Feelers.,我々は　これまで歩んできた道のりが<br>フィーラーによって守られていたことを知る
$C1910_MAIN_0050_3000_00_red,NPC,And then—the moment of decision.,そして　決断のとき──
$C1910_MAIN_0050_3100_00_red,NPC,"Beyond that wall, we clashed with Sephiroth, who’d absorbed the guardians of fate.",壁を越えた先で　我々は<br>運命の番人を取り込んだセフィロスと激突する
$C1910_MAIN_0050_3200_00_red,NPC,"Carrying our comrades’ hopes, Cloud’s strike cut through destiny itself.",仲間の想いを乗せたクラウドの一撃が<br>運命を斬りひらく
$C1910_MAIN_0050_3300_00_red,NPC,"The battle over, freed from fate’s rails, we left Midgar behind and stood in the uncharted wilds.",戦いを終え　運命のレールから外れた我々は<br>ミッドガルを飛びだし　道なき荒野に立っていた
$C1910_MAIN_0050_3400_00_red,NPC,"And from here, a new journey begins—one no one has ever seen before—",そしてここから　誰も見たことのない<br>新たな旅が始まる――
